time,open,high,low,close,volume
1564617600,0.01134,0.01154,0.01055,0.01062,111946706.8
1564704000,0.01061,0.01155,0.01041,0.01109,144581652.30000001
1564790400,0.01109,0.0114,0.01058,0.01062,90599072.90000001
1564876800,0.01062,0.01099,0.01013,0.01022,99736984.5
1564963200,0.01022,0.01293,0.00951,0.01169,718163052.70000005
1565049600,0.01168,0.01736,0.01164,0.01531,1705674410.70000005
1565136000,0.01531,0.02063,0.01531,0.01666,1977529841.79999995
1565222400,0.01669,0.01764,0.01416,0.01453,887359062.79999995
1565308800,0.01444,0.01486,0.0121,0.01218,567134284.20000005
1565395200,0.01215,0.01549,0.01213,0.01497,819362182.29999995
1565481600,0.01501,0.0187,0.01402,0.01603,1195445043.0999999
1565568000,0.01609,0.0182,0.01582,0.01691,839532697.5
1565654400,0.01692,0.01725,0.01502,0.01682,643086628.60000002
1565740800,0.01682,0.01737,0.01454,0.01475,673891620.89999998
1565827200,0.01475,0.01566,0.0142,0.01455,365523090.10000002
1565913600,0.01458,0.01472,0.01316,0.0133,333896356.10000002
1566000000,0.0133,0.0148,0.01322,0.01417,286427641.89999998
1566086400,0.01416,0.01455,0.0136,0.0139,211127169.5
1566172800,0.01393,0.01594,0.01384,0.01542,438255057.39999998
1566259200,0.01543,0.01599,0.01481,0.01578,306085526.10000002
1566345600,0.01582,0.01597,0.01442,0.01547,344245407.30000001
1566432000,0.01551,0.01713,0.01465,0.01672,488617075.69999999
1566518400,0.0167,0.01736,0.01495,0.01534,360555621
1566604800,0.01536,0.01545,0.0142,0.01483,305267605.19999999
1566691200,0.01483,0.01496,0.01355,0.01373,151830261.59999999
1566777600,0.01368,0.01473,0.01366,0.01392,162985868.30000001
1566864000,0.01391,0.0149,0.01372,0.01416,178712745
1566950400,0.01417,0.01461,0.01275,0.01291,166959782.19999999
1567036800,0.01291,0.01291,0.01148,0.01168,148121402.90000001
1567123200,0.01168,0.01245,0.01155,0.01232,109461152.5
1567209600,0.01232,0.01234,0.01132,0.01177,70188124.40000001
1567296000,0.01175,0.01236,0.01152,0.01217,70966390.59999999
1567382400,0.01225,0.01395,0.01202,0.01378,221181128.90000001
1567468800,0.01374,0.015,0.01275,0.01433,236492770.30000001
1567555200,0.01431,0.01457,0.01381,0.0141,135373752.09999999
1567641600,0.01411,0.0152,0.01403,0.01487,215593248.59999999
1567728000,0.01487,0.01491,0.0134,0.01358,204994676.40000001
1567814400,0.01356,0.01408,0.01347,0.01379,85406834.3
1567900800,0.01378,0.01401,0.01364,0.01387,56146893.1
1567987200,0.01387,0.01464,0.01297,0.0141,209711539.90000001
1568073600,0.0141,0.01438,0.01319,0.0135,95787661
1568160000,0.01351,0.01372,0.01285,0.0131,92349749.8
1568246400,0.0131,0.01316,0.0125,0.01296,80307156.90000001
1568332800,0.01294,0.01322,0.01267,0.01293,44860625
1568419200,0.01293,0.01344,0.01284,0.01305,48470841.6
1568505600,0.01304,0.01324,0.01259,0.01283,56612198.1
1568592000,0.01283,0.013,0.01251,0.0129,56442517.6
1568678400,0.0129,0.01388,0.01276,0.01348,96218969.59999999
